name,nomenclature,gaia_dr3_id,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,parallax_mas,magnitude_v,color_index,ecl_lon_deg,ecl_lat_deg,arc_vis_deg,lat_limit_deg
Matza,HD 116434,0,201.15040723345996,-51.5044568644,-33.921,-18.917,9.3031,6.980000019073486,0.09999990463256836,221.70852096935758,-38.95691637856591,18.376000022888185,38.4955431356
Noquisi,Ross  905,0,175.54622222957414,26.70656966188278,895.088,-813.55,102.3014,10.61299991607666,1.447000503540039,164.77369951955367,22.627731161717563,22.73559989929199,63.29343033811722
Orkaria,G 139-21,0,258.82889160451873,4.963907392315556,580.202,-749.713,68.2986,14.710000038146973,0.0,257.3832114076028,27.91522979551,27.652000045776365,85.03609260768444
Uúba,CD-38 15670,0,358.66753046522996,-37.62792344903,247.634,-69.752,12.3381,9.760000228881836,0.7899999618530273,341.8372927918526,-33.56108283433538,21.7120002746582,52.37207655097
Wattle,WASP-19,0,148.41698568691,-45.65918255211,-35.457,17.378,3.7516,12.3100004196167,0.7399997711181641,175.07013813318432,-53.30090050021896,24.77200050354004,44.34081744789
Wouri,BD-05  5432,0,315.02582008947,-5.09445415116,33.778,-93.581,19.8858,9.869999885559082,1.0600004196166992,315.9675579029102,11.45293520511753,21.8439998626709,84.90554584884
Zembra,HATS-72,0,339.02632897779,-16.99994113794,-108.585,-84.437,7.888,12.468999862670898,1.1029996871948242,334.2684410312714,-7.590170799474599,24.962799835205075,73.00005886206
Rana,del Eri,0,55.81208557481292,-9.763391932194168,-93.634,744.36,110.0254,3.5399999618530273,0.9200000762939453,50.86206255675982,-28.67636130010677,14.247999954223634,80.23660806780583
Mazaalai,HAT-P-21,0,171.27494133064,41.02796248256,-1.142,13.523,3.519,11.460000038146973,1.1000003814697266,153.8498499480762,33.83067507550414,23.752000045776366,48.97203751744
Absolutno,XO-5,0,116.716506151,39.09457245971,-21.509,-23.91,3.6517,12.100000381469727,0.0,111.47572683956473,17.62629101578503,24.520000457763672,50.90542754029
Alasia,HD 168746,0,275.45742788659,-11.922681240250002,-22.963,-68.395,23.9884,7.949999809265137,0.7100000381469727,275.4473903482508,11.413460674892939,19.53999977111816,78.07731875975
Amadioha,HD  43197,0,93.39858978173,-29.89726433262001,147.648,16.6,16.0171,8.949999809265137,0.8400001525878906,94.93072734177993,-53.27838924252648,20.739999771118164,60.10273566737999
Amansinaya,CD-23  9677,0,165.39957428216,-23.86066305136,-43.846,-65.637,7.6211,10.279999732971191,0.7700004577636719,176.72748731951336,-27.570166157096757,22.33599967956543,66.13933694864
Anadolu,WASP-52,0,348.49482337452,8.76127008482,-6.942,-44.33,5.7262,12.0,0.8999996185302734,352.9207236861478,12.6011178650379,24.4,81.23872991518
Aniara,HD 102956,0,177.84379540294,57.640733910109994,-12.002,-17.53,8.1691,7.85099983215332,0.9739999771118164,146.4647417119702,50.08479789250088,19.421199798583984,32.359266089890006
Arcalís,HD 131496,0,223.34595125628,18.2354076392,43.739,-33.865,7.547,7.800000190734863,1.0279998779296875,214.44111601875804,33.12195911234996,19.360000228881837,71.7645923608
Atakoraka,WASP-64,0,101.11502112547,-32.858383135939995,-19.265,-1.072,2.7721,0.0,0.0,106.68083580226768,-55.6558454809254,10.0,57.141616864060005
Axólotl,HD 224693,0,359.97429885304,-22.428115627219995,147.026,26.865,10.5796,8.220000267028809,0.6499996185302734,350.6533843041778,-20.47976373317658,19.86400032043457,67.57188437278
Ayeyarwady,HD  18742,0,45.04440180981,-20.80260479376,-19.599,-22.666,6.1858,7.809999942779541,0.929999828338623,35.18462822055364,-36.08477204201338,19.37199993133545,69.19739520624
Baekdu,8 UMi,0,224.20146792993,74.90092254897,13.139,3.578,6.1278,6.835000038146973,0.999000072479248,130.65913978120008,73.34491464923508,18.202000045776366,15.099077451029999
Belel,HD 181342,0,290.26762700977,-23.61956948647,-46.661,-30.244,8.2972,7.550000190734863,1.0159997940063477,288.51124844463413,-1.4733435755275224,19.060000228881833,66.38043051353
Bélénos,HD   8574,0,21.30214886748,28.56669528383,251.27,-157.57,22.3056,0.0,0.0,30.549452926800928,18.168232275310565,10.0,61.43330471617
Berehynia,HAT-P-15,0,66.24806258756,39.46064249415999,14.233,-9.407,5.1856,12.40999984741211,0.6100006103515625,70.96165202333594,17.57827660254062,24.891999816894533,50.53935750584001
Bibh?,HD  86081,0,149.02466025704,-3.8084238539399995,-66.939,16.178,9.6783,8.699999809265137,0.6400003433227539,152.53196386006928,-15.379499227305033,20.439999771118163,86.19157614606
Bosona,HD 206610,0,325.85375043807,-7.40825284889,2.184,1.781,6.7637,8.350000381469727,1.0299997329711914,325.5983438340296,5.918436806045432,20.020000457763672,82.59174715111
Bubup,HD  38283,0,84.25840342492,-73.6993458904,138.794,-108.499,26.2854,6.696000099182129,0.564000129699707,282.60568717966834,-82.60761738056107,18.035200119018555,16.300654109600003
Buna,HD  16175,0,39.25796324194,42.06263014777,-38.864,-41.234,16.667,7.28000020980835,0.6399998664855957,50.50706333055228,25.326838257446372,18.73600025177002,47.93736985223
Ceibo,HD  63454,0,114.84105376505,-78.27897439398,-19.556,-39.926,26.5541,9.359999656677246,1.0600004196166992,248.82790606318227,-76.33209124358703,21.231999588012695,11.721025606020007
Chaophraya,WASP-50,0,43.68805906266,-10.8980625624,3.383,8.913,5.4865,11.4399995803833,0.9900007247924805,37.613808331847174,-26.31227112646405,23.727999496459958,79.1019374376
Chaso?,HAT-P-5,0,274.40546955165,36.62143622263,11.925,5.904,3.2184,11.949999809265137,0.9700002670288086,277.07248581337865,59.95260437318278,24.339999771118165,53.37856377737
Chechia,HD 192699,0,304.02501573383,4.58079443767,-40.884,-51.962,13.7264,6.446000099182129,0.8680000305175781,307.5263172186829,23.69678233612459,17.735200119018554,85.41920556233
Citadelle,HD   1502,0,4.821108315189999,14.05475644782,74.472,-17.069,5.2018,8.350000381469727,0.9399995803833008,10.055055027906874,10.974922669688178,20.020000457763672,75.94524355218
Citalá,HD  52265,0,105.07514879809001,-5.367161369199999,-116.513,80.633,33.425,6.2820000648498535,0.5629997253417969,107.04087548269698,-27.919003706008574,17.538400077819823,84.6328386308
Cocibolca,HD   4208,0,11.111044461334165,-26.515682091086944,313.556,149.324,29.3187,7.789999961853027,0.6700000762939453,358.73598407672756,-28.56764669205376,19.34799995422363,63.484317908913056
Dingolay,HD  96063,0,166.18522853281,-2.51321946826,27.824,-17.902,7.1787,8.253999710083008,0.8360004425048828,168.27052011502957,-7.765722816373218,19.90479965209961,87.48678053174
Dìwö,CD-27 10695,0,239.96228812708998,-28.061753560859998,-8.263,-9.427,2.4811,11.59000015258789,0.23999977111816406,243.55288102985327,-7.338584289284026,23.908000183105468,61.93824643914
Diya,CD-30  1019,0,41.040040009760006,-30.16904546173,7.614,-7.673,2.3889,10.960000038146973,0.4940004348754883,26.20272802621275,-43.383731471517166,23.15200004577637,59.83095453827
Dofida,HD 117618,0,203.10648176596996,-47.27136478166,25.214,-125.428,26.5429,7.170000076293945,0.5999999046325684,220.68422043760236,-34.61360404880979,18.604000091552734,42.72863521834
Dombay,HAT-P-3,0,206.09414056238998,48.028668259339995,-19.619,-23.973,7.4159,11.859999656677246,0.6700000762939453,177.5345084066306,53.047673373940576,24.231999588012695,41.971331740660005
Ebla,HD 218566,0,347.29469579293624,-2.2607451854897223,631.54,-97.397,34.6958,9.208000183105469,0.4329996109008789,347.43144249922915,2.9362886919642643,21.049600219726564,87.73925481451028
Emiw,HD   7199,0,17.696754249910004,-66.18816340323,110.671,-123.406,27.6929,8.029999732971191,0.8600006103515625,326.83935334002274,-62.64799141911619,19.63599967956543,23.811836596769993
Felixvarela,BD-17    63,0,7.142941102742914,-16.226343734481386,-354.939,-227.995,28.9723,9.720000267028809,1.0500001907348633,359.90306043081597,-17.68993931820759,21.664000320434567,73.77365626551861
Flegetonte,HD 102195,0,176.42622028179,2.8214789279,-188.815,-113.269,34.0634,0.0,0.0,175.60011542104772,1.1687679807174696,10.0,87.1785210721
Formosa,HD 100655,0,173.76563835313,20.44154526659,-59.897,-0.996,7.2345,6.438000202178955,1.0299997329711914,165.99775693321152,16.25754437604825,17.725600242614746,69.55845473341
Franz,BD+38  2917,0,260.11615900195,38.242196940259994,2.35,-6.679,4.4473,9.989999771118164,0.4200000762939453,253.7881153353431,61.12639936432567,21.987999725341794,51.757803059740006
Funi,HD 109246,0,188.02994806453998,74.48954668807,-171.665,-48.488,14.7174,0.0,0.0,127.18680140093716,64.01752025071279,10.0,15.510453311929993
Gakyid,HD  73534,0,129.81584645911,12.96037412986,-114.147,-93.787,11.9576,8.239999771118164,0.9700002670288086,128.80463317551778,-5.277607063534811,19.887999725341796,77.03962587014
Gloas,BD+34  1976,0,140.10297724525,33.88241556661,-2.275,-20.072,4.331,10.420000076293945,0.7899999618530273,131.88191380566738,17.438148361283922,22.504000091552733,56.11758443339
Gumala,HD 179949,0,288.88845862292,-24.179353180020005,118.567,-102.364,36.3115,6.236999988555908,0.5349998474121094,287.1863970047773,-1.8599867321099808,17.48439998626709,65.82064681998
Hoggar,HD  28678,0,67.85605820308,4.57529470987,1.403,-10.49,5.3678,8.4399995803833,0.9900007247924805,66.85144999171467,-17.102141855132253,20.12799949645996,85.42470529013
Horna,HAT-P-38,0,35.3832514739,32.24613703865,47.671,-21.594,3.9747,12.510000228881836,0.8299999237060547,43.81320480319224,17.141033943304425,25.012000274658202,57.75386296135
Hunahpú,HD  98219,0,169.44813776586,-23.975415818189997,-130.715,-16.761,8.8365,8.029999732971191,0.9619998931884766,180.51769367391594,-26.06382675514543,19.63599967956543,66.02458418181
Hunor,HD 147506,0,245.15149002655,41.04808521458,-10.078,-29.057,7.7811,8.6899995803833,0.46000003814697266,229.16181595268043,61.011634525568056,20.42799949645996,48.95191478542
Illyrian,HD  82886,0,143.93826709627,34.78074201499,16.321,-35.251,7.8954,7.630000114440918,0.8629999160766602,134.71920117168924,19.3322726401172,19.1560001373291,55.21925798501
Inquill,HD 156411,0,259.96416967456,-48.54932222166,-33.443,-211.177,17.9656,6.670000076293945,0.619999885559082,262.6652579281237,-25.36525049372672,18.004000091552733,41.45067777834
Intan,HD  20868,0,50.17789043810417,-33.730103762691115,292.619,96.116,20.9561,9.930000305175781,1.1399993896484375,34.43520340246008,-49.77725346793769,21.916000366210938,56.269896237308885
Irena,HD 146389,0,243.95985553354998,10.032578960710001,-31.135,-39.167,7.3373,9.390000343322754,0.4759998321533203,239.78991056430624,30.781476164791723,21.268000411987302,79.96742103929
Itonda,HD 208487,0,329.33269869244,-37.76362373571,101.032,-118.842,22.2688,7.46999979019165,0.5500006675720215,317.94008659663433,-23.670721626125054,18.96399974822998,52.23637626429
Jishui,omi Gem,0,114.79139442639,34.58430633086,-37.975,-105.132,19.3338,4.900000095367432,0.40000009536743164,110.74297642427832,12.913164780057725,15.880000114440918,55.41569366914
Kalausi,HD  83443,0,144.29928133377,-43.27220382619999,21.805,-120.094,24.4794,8.239999771118164,0.7899999618530273,168.7918061706557,-52.931202958693035,19.887999725341796,46.72779617380001
Kamuy,HD 145457,0,242.51631001403,26.742748116700003,-18.354,36.856,7.3867,6.565000057220459,1.0450000762939453,233.04842736959216,46.71834742032241,17.87800006866455,63.2572518833
